2023-03-05T20:54:50.341Z In(05) main  DICT pref.keyboardAndMouse.profile0.mapping2.fromHost = "GUI CONTROL"
2023-03-05T20:54:50.341Z In(05) main  DICT pref.keyboardAndMouse.profile0.mapping2.toGuest = "Ungrab"
2023-03-05T20:54:50.341Z In(05) main  DICT pref.keyboardAndMouse.profile0.mapping3.mappingKey = "3"
2023-03-05T20:54:50.341Z In(05) main  DICT pref.keyboardAndMouse.profile0.mapping3.enabled = "TRUE"
2023-03-05T20:54:50.341Z In(05) main  DICT pref.keyboardAndMouse.profile0.mapping3.fromHost = "GUI CONTROL F"
2023-03-05T20:54:50.341Z In(05) main  DICT pref.keyboardAndMouse.profile0.mapping3.toGuest = "Fullscreen"
2023-03-05T20:54:50.341Z In(05) main  DICT pref.keyboardAndMouse.profile0.mapping4.mappingKey = "4"
2023-03-05T20:54:50.341Z In(05) main  DICT pref.keyboardAndMouse.profile0.mapping4.enabled = "FALSE"
2023-03-05T20:54:50.341Z In(05) main  DICT pref.keyboardAndMouse.profile0.mapping4.fromHost = "GUI CONTROL U"
2023-03-05T20:54:50.341Z In(05) main  DICT pref.keyboardAndMouse.profile0.mapping4.toGuest = "Unity"
2023-03-05T20:54:50.341Z In(05) main  DICT pref.keyboardAndMouse.profile0.mapping5.mappingKey = "5"
2023-03-05T20:54:50.341Z In(05) main  DICT pref.keyboardAndMouse.profile0.mapping5.enabled = "FALSE"
2023-03-05T20:54:50.341Z In(05) main  DICT pref.keyboardAndMouse.profile0.mapping5.fromHost = "GUI SHIFT U"
2023-03-05T20:54:50.341Z In(05) main  DICT pref.keyboardAndMouse.profile0.mapping5.toGuest = "Unity"
2023-03-05T20:54:50.341Z In(05) main  DICT pref.keyboardAndMouse.profile0.mapping6.mappingKey = "6"
2023-03-05T20:54:50.341Z In(05) main  DICT pref.keyboardAndMouse.profile0.mapping6.enabled = "TRUE"
2023-03-05T20:54:50.341Z In(05) main  DICT pref.keyboardAndMouse.profile0.mapping6.fromHost = "GUI CONTROL S"
2023-03-05T20:54:50.341Z In(05) main  DICT pref.keyboardAndMouse.profile0.mapping6.toGuest = "SingleWindow"
2023-03-05T20:54:50.341Z In(05) main  DICT pref.keyboardAndMouse.profile0.mapping7.mappingKey = "7"
2023-03-05T20:54:50.341Z In(05) main  DICT pref.keyboardAndMouse.profile0.mapping7.enabled = "FALSE"
2023-03-05T20:54:50.341Z In(05) main  DICT pref.keyboardAndMouse.profile0.mapping7.fromHost = "GUI 0x029"
2023-03-05T20:54:50.341Z In(05) main  DICT pref.keyboardAndMouse.profile0.mapping7.toGuest = "CycleWindow"
2023-03-05T20:54:50.341Z In(05) main  DICT pref.keyboardAndMouse.profile0.mapping8.mappingKey = "8"
2023-03-05T20:54:50.341Z In(05) main  DICT pref.keyboardAndMouse.profile0.mapping8.enabled = "FALSE"
2023-03-05T20:54:50.341Z In(05) main  DICT pref.keyboardAndMouse.profile0.mapping8.fromHost = "GUI SHIFT 0x029"
2023-03-05T20:54:50.341Z In(05) main  DICT pref.keyboardAndMouse.profile0.mapping8.toGuest = "CycleWindowReverse"
2023-03-05T20:54:50.341Z In(05) main  DICT pref.keyboardAndMouse.profile0.mapping9.mappingKey = "9"
2023-03-05T20:54:50.341Z In(05) main  DICT pref.keyboardAndMouse.profile0.mapping9.enabled = "FALSE"
2023-03-05T20:54:50.341Z In(05) main  DICT pref.keyboardAndMouse.profile0.mapping9.fromHost = "GUI H"
2023-03-05T20:54:50.341Z In(05) main  DICT pref.keyboardAndMouse.profile0.mapping9.toGuest = "HideApplication"
2023-03-05T20:54:50.341Z In(05) main  DICT pref.keyboardAndMouse.profile0.mapping10.mappingKey = "10"
2023-03-05T20:54:50.341Z In(05) main  DICT pref.keyboardAndMouse.profile0.mapping10.enabled = "FALSE"
2023-03-05T20:54:50.341Z In(05) main  DICT pref.keyboardAndMouse.profile0.mapping10.fromHost = "GUI M"
2023-03-05T20:54:50.341Z In(05) main  DICT pref.keyboardAndMouse.profile0.mapping10.toGuest = "MinimizeWindow"
2023-03-05T20:54:50.341Z In(05) main  DICT pref.keyboardAndMouse.profile0.mapping11.mappingKey = "11"
2023-03-05T20:54:50.341Z In(05) main  DICT pref.keyboardAndMouse.profile0.mapping11.enabled = "FALSE"
2023-03-05T20:54:50.341Z In(05) main  DICT pref.keyboardAndMouse.profile0.mapping11.fromHost = "GUI Q"
2023-03-05T20:54:50.341Z In(05) main  DICT pref.keyboardAndMouse.profile0.mapping11.toGuest = "Quit"
2023-03-05T20:54:50.341Z In(05) main  DICT pref.keyboardAndMouse.profile0.mapping12.mappingKey = "12"
2023-03-05T20:54:50.341Z In(05) main  DICT pref.keyboardAndMouse.profile0.mapping12.enabled = "TRUE"
2023-03-05T20:54:50.341Z In(05) main  DICT pref.keyboardAndMouse.profile0.mapping12.fromHost = "GUI SHIFT M"
2023-03-05T20:54:50.341Z In(05) main  DICT pref.keyboardAndMouse.profile0.mapping12.toGuest = "ToggleHideMenu"
2023-03-05T20:54:50.341Z In(05) main  DICT pref.keyboardAndMouse.profile0.mapping13.mappingKey = "13"
2023-03-05T20:54:50.341Z In(05) main  DICT pref.keyboardAndMouse.profile0.mapping13.enabled = "FALSE"
2023-03-05T20:54:50.341Z In(05) main  DICT pref.keyboardAndMouse.profile0.mapping13.fromHost = "GUI E"
2023-03-05T20:54:50.341Z In(05) main  DICT pref.keyboardAndMouse.profile0.mapping13.toGuest = "Settings"
2023-03-05T20:54:50.341Z In(05) main  DICT pref.keyboardAndMouse.profile1.profileKey = "525c7d54-1a6c-c189-2e08-9898f96ff1ee"
2023-03-05T20:54:50.341Z In(05) main  DICT pref.keyboardAndMouse.profile1.profileName = "Windows 10 Profile"
2023-03-05T20:54:50.341Z In(05) main  DICT pref.keyboardAndMouse.profile1.profileType = "windows9"
2023-03-05T20:54:50.341Z In(05) main  DICT pref.keyboardAndMouse.profile1.enableOSShortcuts = "TRUE"
2023-03-05T20:54:50.341Z In(05) main  DICT pref.keyboardAndMouse.profile1.enableKeyMappings = "TRUE"
2023-03-05T20:54:50.341Z In(05) main  DICT pref.keyboardAndMouse.profile1.languageSpecificKeyMappingsEnabled = "TRUE"
2023-03-05T20:54:50.341Z In(05) main  DICT pref.keyboardAndMouse.profile1.selectedLanguage = ""
2023-03-05T20:54:50.341Z In(05) main  DICT pref.keyboardAndMouse.profile1.cmdKeyFilterType = "none"
2023-03-05T20:54:50.341Z In(05) main  DICT pref.keyboardAndMouse.profile1.maxMappings = "30"
2023-03-05T20:54:50.341Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping0.mappingKey = "0"
2023-03-05T20:54:50.341Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping0.enabled = "TRUE"
2023-03-05T20:54:50.341Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping0.fromHost = "GUI Z"
2023-03-05T20:54:50.341Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping0.toGuest = "CONTROL Z"
2023-03-05T20:54:50.341Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping1.mappingKey = "1"
2023-03-05T20:54:50.341Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping1.enabled = "TRUE"
2023-03-05T20:54:50.341Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping1.fromHost = "GUI X"
2023-03-05T20:54:50.341Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping1.toGuest = "CONTROL X"
2023-03-05T20:54:50.341Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping2.mappingKey = "2"
2023-03-05T20:54:50.341Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping2.enabled = "TRUE"
2023-03-05T20:54:50.341Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping2.fromHost = "GUI C"
2023-03-05T20:54:50.341Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping2.toGuest = "CONTROL C"
2023-03-05T20:54:50.341Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping3.mappingKey = "3"
2023-03-05T20:54:50.341Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping3.enabled = "TRUE"
2023-03-05T20:54:50.341Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping3.fromHost = "GUI V"
2023-03-05T20:54:50.341Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping3.toGuest = "CONTROL V"
2023-03-05T20:54:50.341Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping4.mappingKey = "4"
2023-03-05T20:54:50.341Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping4.enabled = "TRUE"
2023-03-05T20:54:50.341Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping4.fromHost = "GUI P"
2023-03-05T20:54:50.341Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping4.toGuest = "CONTROL P"
2023-03-05T20:54:50.341Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping5.mappingKey = "5"
2023-03-05T20:54:50.341Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping5.enabled = "TRUE"
2023-03-05T20:54:50.341Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping5.fromHost = "GUI A"
2023-03-05T20:54:50.341Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping5.toGuest = "CONTROL A"
2023-03-05T20:54:50.341Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping6.mappingKey = "6"
2023-03-05T20:54:50.341Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping6.enabled = "TRUE"
2023-03-05T20:54:50.341Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping6.fromHost = "GUI S"
2023-03-05T20:54:50.341Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping6.toGuest = "CONTROL S"
2023-03-05T20:54:50.341Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping7.mappingKey = "7"
2023-03-05T20:54:50.341Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping7.enabled = "TRUE"
2023-03-05T20:54:50.341Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping7.fromHost = "GUI F"
2023-03-05T20:54:50.341Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping7.toGuest = "0x03d"
2023-03-05T20:54:50.341Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping8.mappingKey = "8"
2023-03-05T20:54:50.341Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping8.enabled = "TRUE"
2023-03-05T20:54:50.341Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping8.fromHost = "GUI W"
2023-03-05T20:54:50.341Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping8.toGuest = "ALT 0x03e"
2023-03-05T20:54:50.341Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping9.mappingKey = "9"
2023-03-05T20:54:50.341Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping9.enabled = "TRUE"
2023-03-05T20:54:50.341Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping9.fromHost = "CONTROL ALT 0xe"
2023-03-05T20:54:50.341Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping9.toGuest = "CONTROL ALT 0x153"
2023-03-05T20:54:50.341Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping10.mappingKey = "10"
2023-03-05T20:54:50.341Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping10.enabled = "FALSE"
2023-03-05T20:54:50.341Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping10.fromHost = "0x11c"
2023-03-05T20:54:50.342Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping10.toGuest = "0x138"
2023-03-05T20:54:50.342Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping11.mappingKey = "11"
2023-03-05T20:54:50.342Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping11.enabled = "TRUE"
2023-03-05T20:54:50.342Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping11.fromHost = "GUI SHIFT H"
2023-03-05T20:54:50.342Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping11.toGuest = "GUI H"
2023-03-05T20:54:50.342Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping12.mappingKey = "12"
2023-03-05T20:54:50.342Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping12.enabled = "TRUE"
2023-03-05T20:54:50.342Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping12.fromHost = "GUI SHIFT M"
2023-03-05T20:54:50.342Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping12.toGuest = "GUI M"
2023-03-05T20:54:50.342Z In(05) main  DICT pref.keyboardAndMouse.profile1.mapping13.mappingKey = "13"
